id,entity_type,name,description,official_url,logo,manufacturer,categories,device_type,physical_form,processor,memory_storage,connectivity,operating_system,api_sdk,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
device:redhat-ai-services/ai-accelerator,device,ai-accelerator,The AI Accelerator is a template project for setting up Red Hat OpenShift AI using GitOps,,,redhat-ai-services,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:ipads-sai/waferai-sim,device,WaferAI-SIM,The wafer-native AI accelerator simulation platform and inference engine.,,,IPADS-SAI,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:opea-project/enterprise-rag,device,Enterprise-RAG,Intel® AI for Enterprise RAG converts enterprise data into actionable insights with excellent TCO. Utilizing Intel Gaudi AI accelerators and Intel Xeon processors ensuring streamlined deployment.,,,opea-project,"Devices, AI Hardware, Edge AI",AI Wearable,Smart Wearable,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:msusazureaccelerators/conversational-azure-openai-accelerator,device,Conversational-Azure-OpenAI-Accelerator,"The Conversational Azure OpenAI (ChatGPT) Accelerator, from Microsoft partner Zammo.ai, uses OpenAI to improve customer experience by automating conversations and summarizations. This leverages Azure AI services, deploys to voice and text channels, and saves customers time creating UI, conversational flows, and API integrations.",,,MSUSAzureAccelerators,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:scottcjn/hailort-ppc64le,device,hailort-ppc64le,HailoRT SDK port for IBM POWER8/POWER9 ppc64le - Hailo-8 AI accelerator on PowerPC,https://rustchain.org,,Scottcjn,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,Hailo AI Processor,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T11:05:23.638966+00:00
device:spzbrnmrc/tiny-vedas,device,Tiny-Vedas,RISC-V Infrastructure for AI Accelerators,https://marcospazianibrunella.io,,spzbrnmrc,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:mit-ai-accelerator/sevir_challenges,device,sevir_challenges,AI Challenges based on the SEVIR weather dataset,,,MIT-AI-Accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:mit-ai-accelerator/eie-sevir,device,eie-sevir,Code for working with the SEVIR weather dataset,,,MIT-AI-Accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:haden-min/cnn_yolo_ai_accelerator,device,CNN_YOLO_AI_accelerator,This project is to design yolo AI accelerator in verilog HDL.,,,Haden-Min,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:microsoft/aoc,device,aoc,"Repository for the digital twin of the Analog-Optical Computer, a novel in-memory analog AI accelerator targeting inference of fixed-point AI models and constrained quadratic optimization problems.",,,microsoft,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:micsim-official/micsim_v1.0,device,MICSim_V1.0,"Official code of paper ""MICSim: A Modular Simulator for Mixed-signal Compute-in-Memory based AI Accelerator"", ASP-DAC 2025",,,MICSim-official,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:fpgadeveloper/zynqmp-hailo-ai,device,zynqmp-hailo-ai,Ref design combining the Zynq UltraScale+ MPSoC with the Hailo AI accelerator,,,fpgadeveloper,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,Hailo AI Processor,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T11:05:23.638966+00:00
device:shashankprasanna/ai-accelerators-examples,device,ai-accelerators-examples,"Examples of AI Accelerators - GPU, AWS Inferential and Elastic Inference",,,shashankprasanna,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:mit-ai-accelerator/multiearth-challenge,device,multiearth-challenge,Repository for the MultiEarth 2023 public challenge.,,,MIT-AI-Accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:mit-ai-accelerator/mit-supercloud-dataset,device,MIT-Supercloud-Dataset,Repository for the MIT Supercloud Dataset,,,MIT-AI-Accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:purdue-socet/atalla,device,atalla,"Open-source AI Accelerator Stack integrating compute, memory, and software — from RTL to PyTorch.",https://purdue-socet.github.io/atalla,,Purdue-SoCET,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:eng-accelerator/ai-accelerator-c5,device,ai-accelerator-C5,,,,eng-accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:eng-accelerator/ai-accelerator,device,ai-accelerator,,,,eng-accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:kfm135/chiplet-optimizer,device,chiplet-optimizer,This repository contains the code for this paper: Chiplet-Gym: An RL-based Optimization Framework for Chiplet-based AI Accelerator,,,KFM135,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:ibm/onnx-mlir-serving,device,onnx-mlir-serving,"ONNX Serving is a project written with C++ to serve onnx-mlir compiled models with GRPC and other protocols.Benefiting from C++ implementation, ONNX Serving has very low latency overhead and high throughput. ONNX Servring provides dynamic batch aggregation and workers pool to fully utilize AI accelerators on the machine.",,,IBM,"Devices, AI Hardware, Edge AI",AI Wearable,Smart Wearable,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:insight-services-apac/ingenious,device,ingenious,General-purpose Gen AI Accelerator developed for Insight APAC projects,https://blog.insight-services-apac.dev/ingenious,,Insight-Services-APAC,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:wizliang/llama2-on-openla500,device,LLaMA2-on-OpenLA500,Deploy llama2.c on the OpenLA500 SoC with custom AI accelerator (FPGA),,,WizLiang,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:degirum/deepx_examples,device,deepx_examples,DeGirum PySDK with Deepx AI Accelerators,,,DeGirum,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:eng-accelerator/ai-accelerator-c3,device,ai-accelerator-C3,,,,eng-accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:akira2963753/tpu-accelerator-lite,device,tpu-accelerator-lite,Design a Low-cost-AI-Accelerator based on Google's Tensor Processing Unit Version 1 in TSMC 16nm,,,akira2963753,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:taitashaw/fpga-ai-accelerator,device,fpga-ai-accelerator,Open-source 8×8 INT8 systolic array inference accelerator — from RTL to bitstream,https://shawsilicon.ai,,taitashaw,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:sanjoyg/rpi_hailo8l_face_recognition,device,rpi_hailo8l_face_recognition,Face Recognition using RPI5 Hailo8L AI Accelerator KIT,,,sanjoyg,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,Hailo AI Processor,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T11:05:23.638966+00:00
device:googlecloudplatform/mis-ai-accelerator,device,mis-ai-accelerator,Google Cloud Medical Imaging ML Development Accelerators,https://cloud.google.com/medical-imaging,,GoogleCloudPlatform,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:eng-accelerator/ai-accelerator-c8,device,ai-accelerator-C8,,,,eng-accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:matbi86/01_ai_accelerator_basic_for_student,device,01_ai_accelerator_basic_for_student,ai_accelerator_basic_for_student (no solve),,,matbi86,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:sassoftware/sas-agentic-ai-accelerator,device,sas-agentic-ai-accelerator,The SAS Agentic AI Accelerator provides a way of building AI agents leveraging SAS Viya technology.,https://sassoftware.github.io/sas-agentic-ai-accelerator,,sassoftware,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:eng-accelerator/ai-accelerator-c4,device,ai-accelerator-C4,,,,eng-accelerator,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:sanchorelaxo/openclaw-raspberry-installer,device,openclaw-raspberry-installer,Automated installer for OpenClaw on the CanaKit Raspberry Pi 5 8GB Dual Cooling GenAI Kit with Hailo 10H AI accelerator,,,sanchorelaxo,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,Hailo AI Processor,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T11:05:23.638966+00:00
device:jgangini/oracle-ai-accelerator,device,oracle-ai-accelerator,,,,jgangini,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:est4ever/acoulm,device,AcouLM,Local AI accelerator,https://est4ever.github.io/AcouLM,,est4ever,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,Dedicated NPU Chip,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T11:05:23.638966+00:00
device:lukasmaar/qaic-page-uaf,device,qaic-page-uaf,Privilege Escalation via a Page Use-After-Free in Qualcomm's AI Accelerator Linux Kernel Driver,,,lukasmaar,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:aibrix/ai-accelerator-tool,device,ai-accelerator-tool,,,,aibrix,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:05:23.638966+00:00
device:tenstorrent/tt-example-apps,device,tt-example-apps,End-to-end AI apps running on Tenstorrent AI accelerators,,,tenstorrent,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:flexaihq/flexbench,device,flexbench,Benchmark OpenAI-compatible AI endpoints and AI Accelerators in a reproducible structured way,,,flexaihq,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:redoop/riscv-bitnet-accelerator,device,riscv-bitnet-accelerator,"RISC-V AI Accelerator SoC with innovative BitNet multiplier-free architecture. Features PicoRV32 CPU, dual AI accelerators (6.4 GOPS), and supports open-source EDA toolchains. Designed for edge AI inference with <100mW power consumption.",https://redoop.github.io/riscv-bitnet-accelerator,,redoop,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:oaax-standard/oaax,device,OAAX,Open Ai Accelerator eXchange Specification,https://oaax.org,,OAAX-standard,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:swote-git/tt-iree,device,tt-iree,IREE on Tenstorrent AI accelerators.,,,swote-git,"Devices, AI Hardware, Edge AI",AI Accelerator,PCIe Card,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22ai+accelerator%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
