id,entity_type,name,description,official_url,repository_url,manufacturer,robot_type,physical_form,capabilities,payload,mobility,weight,operating_system,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
robot:ispaik06/convex-mpc-biped,robot,convex-mpc-biped,Convex MPC humanoid locomotion in MuJoCo with SRB modeling and contact-wrench optimization.,https://ispaik06.github.io/convex-mpc-biped,https://github.com/ispaik06/convex-mpc-biped,ispaik06,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ekorudiawan/omnidirectional-walking-zmp-preview-control,robot,Omnidirectional-Walking-ZMP-Preview-Control,Omnidirectional Walking Pattern Generation for Humanoid Robot using ZMP Preview Control,,https://github.com/ekorudiawan/omnidirectional-walking-zmp-preview-control,ekorudiawan,Humanoid Robot,Bipedal Humanoid,bipedal_locomotion,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.880514+00:00
robot:psh117/dyros_jet,robot,dyros_jet,DYROS JET Humanoid Repository,,https://github.com/psh117/dyros_jet,psh117,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:miaodx/roboharness,robot,roboharness,Visual Testing Harness for AI Coding Agents in Robot Simulation,,https://github.com/miaodx/roboharness,MiaoDX,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:pal-robotics/reemc_robot,robot,reemc_robot,Scripts and configuration files to launch when bringing up REEM-C.,,https://github.com/pal-robotics/reemc_robot,pal-robotics,Humanoid Robot,Bipedal Humanoid,"bipedal_locomotion, manipulation, autonomous_navigation",,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.880514+00:00
robot:bit-bots/soccerdiffusion,robot,SoccerDiffusion,Learning End-to-End Humanoid Robot Soccer from Gameplay Recordings,https://bit-bots.github.io/SoccerDiffusion,https://github.com/bit-bots/soccerdiffusion,bit-bots,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:bronwang/ikid_ws,robot,ikid_ws,基于ROS框架的 Ikid Robot 仿人足球机器人项目。功能包包括 gazebo仿真环境、机器人运动控制、步态调试服务端等。,,https://github.com/bronwang/ikid_ws,BronWang,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:olinrobotics/hiro,robot,hiro,"Human Interactions Robotics Laboratory  specializes in innovative research to support the human-robot interaction field. We are interested in advancing research in areas relevant to path planning, perception as well as AI/ML and regularly develop new collaborative projects to accomplish this goal.",https://olinrobotics.github.io/hiro,https://github.com/olinrobotics/hiro,olinrobotics,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:michtesar/pepper_ros,robot,pepper_ros,This is a home for working robot Pepper in simulator Gazebo and also in real controlling the robot and reading sensors with RViz visualization,,https://github.com/michtesar/pepper_ros,michtesar,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:homebrewroboticsclub/ros-x402-node,robot,Ros-X402-Node,A ROS 1 (Noetic) package that turns robot capabilities into paid API endpoints - using Solana’s x402 protocol for pay-to-access control — and includes tools for making and verifying payments to external services.,https://homebrew.build,https://github.com/homebrewroboticsclub/ros-x402-node,homebrewroboticsclub,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:utra-robosoccer/bez_isaacgym,robot,Bez_IsaacGym,Isaac Gym Reinforcement Learning Environments for humanoid robot Bez,http://utrahumanoid.ca,https://github.com/utra-robosoccer/bez_isaacgym,utra-robosoccer,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ashraf-minhaj/mofiza--humanoid-social-robot,robot,Mofiza--Humanoid-social-robot,"a smart robot who can talk see and react,just with arduino. ",https://youtube.com/watch?v=CdclcoZlOCw,https://github.com/ashraf-minhaj/mofiza--humanoid-social-robot,ashraf-minhaj,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:mominalix/humanoid-robot-reinforcement-learning-ppo,robot,Humanoid-Robot-Reinforcement-Learning-PPO,"This repository contains a project that leverages reinforcement learning to make a humanoid robot walk in a PyBullet simulation. It uses a custom Gym environment, a Proximal Policy Optimization (PPO) agent, and a provided URDF file for the robot model. The training process prints rewards per generation and visualizes the robot's behavior.",,https://github.com/mominalix/humanoid-robot-reinforcement-learning-ppo,mominalix,Humanoid Robot,Bipedal Humanoid,bipedal_locomotion,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.880514+00:00
robot:neka-nat/humanoid_robot,robot,humanoid_robot,"Read ""humanoid robot"" and implement some algorithms",,https://github.com/neka-nat/humanoid_robot,neka-nat,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:mrsp/lipm_motion,robot,lipm_motion,,,https://github.com/mrsp/lipm_motion,mrsp,Humanoid Robot,Bipedal Humanoid,bipedal_locomotion,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.8,2026-09-17T12:17:56.880514+00:00
robot:pal-robotics/talos_simulation,robot,talos_simulation,,,https://github.com/pal-robotics/talos_simulation,pal-robotics,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T12:17:56.880514+00:00
robot:evan-wyl/humanoid-robot-intelligence,robot,humanoid-robot-intelligence,humanoid robot intelligence papers,,https://github.com/evan-wyl/humanoid-robot-intelligence,Evan-wyl,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:infinity-todd/footstep-guided-humanoid-obstacle-avoidance,robot,Footstep-Guided-Humanoid-Obstacle-Avoidance,"Footstep-guided slalom locomotion for a JRVC-1 humanoid in MuJoCo, trained with a custom PyTorch policy to track discrete step targets and avoid obstacles.",,https://github.com/infinity-todd/footstep-guided-humanoid-obstacle-avoidance,Infinity-Todd,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:soheilkhatibi/humanoid-robot-active-vision-ddqn,robot,Humanoid-Robot-Active-Vision-DDQN,"The code release of ""Real-time Active Vision for a Humanoid Soccer Robot Using Deep Reinforcement Learning"" paper, ICAART 2021",,https://github.com/soheilkhatibi/humanoid-robot-active-vision-ddqn,SoheilKhatibi,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
